barrio,año,precio_prom
AGRONOMIA,2010,
AGRONOMIA,2011,
AGRONOMIA,2012,
AGRONOMIA,2013,
AGRONOMIA,2014,
AGRONOMIA,2015,
AGRONOMIA,2016,2040.5714285714287
AGRONOMIA,2017,2201.75
AGRONOMIA,2018,
AGRONOMIA,2019,
ALMAGRO,2010,1701.25
ALMAGRO,2011,1927.7333333333333
ALMAGRO,2012,2019.111111111111
ALMAGRO,2013,2188.222222222222
ALMAGRO,2014,2080.875
ALMAGRO,2015,2172.8333333333335
ALMAGRO,2016,2323.1875
ALMAGRO,2017,2489.4666666666667
ALMAGRO,2018,2865.0666666666666
ALMAGRO,2019,2864.25
BALVANERA,2010,1456.923076923077
BALVANERA,2011,1603.4166666666667
BALVANERA,2012,1745.375
BALVANERA,2013,1711.5714285714287
BALVANERA,2014,1765.375
BALVANERA,2015,1916.0
BALVANERA,2016,1971.2857142857142
BALVANERA,2017,2096.6875
BALVANERA,2018,2319.8333333333335
BALVANERA,2019,2425.0
BARRACAS,2010,1641.6875
BARRACAS,2011,1765.642857142857
BARRACAS,2012,2004.3333333333333
BARRACAS,2013,2082.5
BARRACAS,2014,1945.0
BARRACAS,2015,2085.0
BARRACAS,2016,2152.777777777778
BARRACAS,2017,2190.0
BARRACAS,2018,2378.875
BARRACAS,2019,2466.25
BELGRANO,2010,2150.3125
BELGRANO,2011,2271.181818181818
BELGRANO,2012,2510.25
BELGRANO,2013,2479.1428571428573
BELGRANO,2014,2473.625
BELGRANO,2015,2742.9375
BELGRANO,2016,2997.8125
BELGRANO,2017,3369.8125
BELGRANO,2018,3837.75
BELGRANO,2019,3771.75
BOCA,2010,1088.125
BOCA,2011,1129.6666666666667
BOCA,2012,1352.0
BOCA,2013,
BOCA,2014,1266.0
BOCA,2015,1508.857142857143
BOCA,2016,1508.25
BOCA,2017,1646.125
BOCA,2018,1817.0
BOCA,2019,1884.5
BOEDO,2010,1327.0
BOEDO,2011,
BOEDO,2012,
BOEDO,2013,
BOEDO,2014,1693.0
BOEDO,2015,1908.0
BOEDO,2016,2096.0833333333335
BOEDO,2017,2224.25
BOEDO,2018,2464.090909090909
BOEDO,2019,2513.0
CABALLITO,2010,1659.75
CABALLITO,2011,1858.25
CABALLITO,2012,2172.7272727272725
CABALLITO,2013,2147.3636363636365
CABALLITO,2014,2193.25
CABALLITO,2015,2324.8125
CABALLITO,2016,2499.0
CABALLITO,2017,2714.3125
CABALLITO,2018,3062.6875
CABALLITO,2019,3072.5
CHACARITA,2010,1645.8333333333333
CHACARITA,2011,1815.25
CHACARITA,2012,2170.6666666666665
CHACARITA,2013,2319.0
CHACARITA,2014,2050.0
CHACARITA,2015,2190.375
CHACARITA,2016,2342.2727272727275
CHACARITA,2017,2568.6363636363635
CHACARITA,2018,2819.5
CHACARITA,2019,2811.3333333333335
COGHLAN,2010,1953.0
COGHLAN,2011,2297.0
COGHLAN,2012,
COGHLAN,2013,
COGHLAN,2014,
COGHLAN,2015,2385.5
COGHLAN,2016,2492.1428571428573
COGHLAN,2017,2930.9
COGHLAN,2018,3250.3333333333335
COGHLAN,2019,3373.25
COLEGIALES,2010,1894.4285714285713
COLEGIALES,2011,2156.2
COLEGIALES,2012,
COLEGIALES,2013,2451.0
COLEGIALES,2014,
COLEGIALES,2015,2615.75
COLEGIALES,2016,2884.625
COLEGIALES,2017,3038.6923076923076
COLEGIALES,2018,3436.6923076923076
COLEGIALES,2019,3512.25
CONSTITUCION,2010,1214.25
CONSTITUCION,2011,1281.3333333333333
CONSTITUCION,2012,
CONSTITUCION,2013,
CONSTITUCION,2014,
CONSTITUCION,2015,1503.875
CONSTITUCION,2016,1614.5
CONSTITUCION,2017,1713.5
CONSTITUCION,2018,1847.75
CONSTITUCION,2019,1803.5
FLORES,2010,1432.875
FLORES,2011,1544.4285714285713
FLORES,2012,1788.0
FLORES,2013,1828.0
FLORES,2014,1909.1666666666667
FLORES,2015,1973.4666666666667
FLORES,2016,2077.1875
FLORES,2017,2235.4375
FLORES,2018,2525.25
FLORES,2019,2571.875
FLORESTA,2010,1292.5
FLORESTA,2011,1476.0
FLORESTA,2012,1684.3333333333333
FLORESTA,2013,1824.0
FLORESTA,2014,1665.6666666666667
FLORESTA,2015,1734.0
FLORESTA,2016,1821.625
FLORESTA,2017,1943.5
FLORESTA,2018,2089.625
FLORESTA,2019,2082.0
LINIERS,2010,1269.7
LINIERS,2011,1421.0
LINIERS,2012,1474.0
LINIERS,2013,1793.5
LINIERS,2014,1669.6666666666667
LINIERS,2015,1837.5454545454545
LINIERS,2016,2011.3125
LINIERS,2017,2164.375
LINIERS,2018,2364.5625
LINIERS,2019,2494.0
MATADEROS,2010,1122.111111111111
MATADEROS,2011,1247.75
MATADEROS,2012,
MATADEROS,2013,1834.4
MATADEROS,2014,1871.5
MATADEROS,2015,1820.142857142857
MATADEROS,2016,1898.25
MATADEROS,2017,1902.625
MATADEROS,2018,2174.6666666666665
MATADEROS,2019,2709.6
MONSERRAT,2010,1419.0
MONSERRAT,2011,1587.6666666666667
MONSERRAT,2012,
MONSERRAT,2013,
MONSERRAT,2014,
MONSERRAT,2015,1834.2857142857142
MONSERRAT,2016,1959.0
MONSERRAT,2017,2113.4
MONSERRAT,2018,2392.909090909091
MONSERRAT,2019,2244.25
MONTE CASTRO,2010,1453.1666666666667
MONTE CASTRO,2011,1601.0
MONTE CASTRO,2012,2212.0
MONTE CASTRO,2013,1920.3333333333333
MONTE CASTRO,2014,1957.5
MONTE CASTRO,2015,1950.0833333333333
MONTE CASTRO,2016,2020.75
MONTE CASTRO,2017,2215.6363636363635
MONTE CASTRO,2018,2517.5714285714284
MONTE CASTRO,2019,2402.3333333333335
NUEVA POMPEYA,2010,1111.3333333333333
NUEVA POMPEYA,2011,1022.0
NUEVA POMPEYA,2012,
NUEVA POMPEYA,2013,
NUEVA POMPEYA,2014,
NUEVA POMPEYA,2015,
NUEVA POMPEYA,2016,
NUEVA POMPEYA,2017,
NUEVA POMPEYA,2018,
NUEVA POMPEYA,2019,
NUÑEZ,2010,1947.7
NUÑEZ,2011,2285.5
NUÑEZ,2012,2492.5
NUÑEZ,2013,2842.5
NUÑEZ,2014,2553.25
NUÑEZ,2015,2691.9166666666665
NUÑEZ,2016,2897.0714285714284
NUÑEZ,2017,3284.285714285714
NUÑEZ,2018,3689.0
NUÑEZ,2019,3617.75
PALERMO,2010,2233.8125
PALERMO,2011,2428.0714285714284
PALERMO,2012,2769.0
PALERMO,2013,2791.2727272727275
PALERMO,2014,2584.125
PALERMO,2015,3040.875
PALERMO,2016,3277.6875
PALERMO,2017,3501.375
PALERMO,2018,3848.75
PALERMO,2019,3840.75
PARQUE AVELLANEDA,2010,1220.75
PARQUE AVELLANEDA,2011,1257.125
PARQUE AVELLANEDA,2012,
PARQUE AVELLANEDA,2013,1681.0
PARQUE AVELLANEDA,2014,1752.6666666666667
PARQUE AVELLANEDA,2015,1675.2
PARQUE AVELLANEDA,2016,1715.0
PARQUE AVELLANEDA,2017,1747.0
PARQUE AVELLANEDA,2018,1858.3333333333333
PARQUE AVELLANEDA,2019,1899.6666666666667
PARQUE CHACABUCO,2010,1402.5
PARQUE CHACABUCO,2011,1595.6666666666667
PARQUE CHACABUCO,2012,2127.0
PARQUE CHACABUCO,2013,
PARQUE CHACABUCO,2014,1867.0
PARQUE CHACABUCO,2015,2123.3
PARQUE CHACABUCO,2016,2223.4
PARQUE CHACABUCO,2017,2385.6666666666665
PARQUE CHACABUCO,2018,2556.9
PARQUE CHACABUCO,2019,2574.0
PARQUE CHAS,2010,
PARQUE CHAS,2011,
PARQUE CHAS,2012,
PARQUE CHAS,2013,
PARQUE CHAS,2014,
PARQUE CHAS,2015,2293.0
PARQUE CHAS,2016,2420.6
PARQUE CHAS,2017,2546.25
PARQUE CHAS,2018,
PARQUE CHAS,2019,
PARQUE PATRICIOS,2010,1327.7777777777778
PARQUE PATRICIOS,2011,1517.0
PARQUE PATRICIOS,2012,
PARQUE PATRICIOS,2013,
PARQUE PATRICIOS,2014,
PARQUE PATRICIOS,2015,1731.5714285714287
PARQUE PATRICIOS,2016,1837.375
PARQUE PATRICIOS,2017,1909.125
PARQUE PATRICIOS,2018,2063.4
PARQUE PATRICIOS,2019,2060.25
PATERL,2010,
PATERL,2011,
PATERL,2012,
PATERL,2013,
PATERL,2014,
PATERL,2015,
PATERL,2016,1801.0
PATERL,2017,2070.0
PATERL,2018,
PATERL,2019,
PUERTO MADERO,2010,4502.0
PUERTO MADERO,2011,
PUERTO MADERO,2012,
PUERTO MADERO,2013,
PUERTO MADERO,2014,
PUERTO MADERO,2015,5257.625
PUERTO MADERO,2016,5506.5
PUERTO MADERO,2017,5869.222222222223
PUERTO MADERO,2018,6166.875
PUERTO MADERO,2019,6121.0
RECOLETA,2010,2320.0625
RECOLETA,2011,2501.8333333333335
RECOLETA,2012,2803.5714285714284
RECOLETA,2013,2659.125
RECOLETA,2014,2571.285714285714
RECOLETA,2015,2895.6666666666665
RECOLETA,2016,3123.6666666666665
RECOLETA,2017,3604.1875
RECOLETA,2018,3922.0625
RECOLETA,2019,3704.75
RETIRO,2010,2187.25
RETIRO,2011,2143.0
RETIRO,2012,
RETIRO,2013,
RETIRO,2014,
RETIRO,2015,2553.75
RETIRO,2016,2615.5
RETIRO,2017,2845.75
RETIRO,2018,3104.625
RETIRO,2019,3150.75
SAAVEDRA,2010,1765.2
SAAVEDRA,2011,2011.909090909091
SAAVEDRA,2012,2223.5
SAAVEDRA,2013,2372.285714285714
SAAVEDRA,2014,2242.5555555555557
SAAVEDRA,2015,2226.3846153846152
SAAVEDRA,2016,2453.875
SAAVEDRA,2017,2720.6
SAAVEDRA,2018,3031.076923076923
SAAVEDRA,2019,3101.4285714285716
SAN CRISTOBAL,2010,1381.8
SAN CRISTOBAL,2011,1511.0
SAN CRISTOBAL,2012,
SAN CRISTOBAL,2013,
SAN CRISTOBAL,2014,
SAN CRISTOBAL,2015,1862.75
SAN CRISTOBAL,2016,1957.1666666666667
SAN CRISTOBAL,2017,2095.5833333333335
SAN CRISTOBAL,2018,2329.3333333333335
SAN CRISTOBAL,2019,2339.5714285714284
SAN NICOLAS,2010,1678.375
SAN NICOLAS,2011,1786.0
SAN NICOLAS,2012,2207.0
SAN NICOLAS,2013,
SAN NICOLAS,2014,
SAN NICOLAS,2015,1978.125
SAN NICOLAS,2016,2061.0
SAN NICOLAS,2017,2176.0
SAN NICOLAS,2018,2332.375
SAN NICOLAS,2019,2453.8
SAN TELMO,2010,1481.0
SAN TELMO,2011,1589.0
SAN TELMO,2012,
SAN TELMO,2013,
SAN TELMO,2014,
SAN TELMO,2015,1986.5
SAN TELMO,2016,2128.777777777778
SAN TELMO,2017,2242.6
SAN TELMO,2018,2500.1
SAN TELMO,2019,2367.0
VELEZ SARSFIELD,2010,1372.6
VELEZ SARSFIELD,2011,1506.6666666666667
VELEZ SARSFIELD,2012,
VELEZ SARSFIELD,2013,1824.0
VELEZ SARSFIELD,2014,1880.0
VELEZ SARSFIELD,2015,1713.75
VELEZ SARSFIELD,2016,1794.5
VELEZ SARSFIELD,2017,1954.5555555555557
VELEZ SARSFIELD,2018,2235.3
VELEZ SARSFIELD,2019,2194.75
VERSALLES,2010,
VERSALLES,2011,1322.0
VERSALLES,2012,
VERSALLES,2013,
VERSALLES,2014,1979.0
VERSALLES,2015,
VERSALLES,2016,1943.6666666666667
VERSALLES,2017,1990.0
VERSALLES,2018,
VERSALLES,2019,
VILLA CRESPO,2010,1634.8125
VILLA CRESPO,2011,1837.5333333333333
VILLA CRESPO,2012,2104.3
VILLA CRESPO,2013,2156.7
VILLA CRESPO,2014,2137.1666666666665
VILLA CRESPO,2015,2206.2
VILLA CRESPO,2016,2382.714285714286
VILLA CRESPO,2017,2665.0
VILLA CRESPO,2018,2952.9375
VILLA CRESPO,2019,2960.625
VILLA DEL PARQUE,2010,1615.0
VILLA DEL PARQUE,2011,1775.7142857142858
VILLA DEL PARQUE,2012,1990.0
VILLA DEL PARQUE,2013,2082.5
VILLA DEL PARQUE,2014,2034.5714285714287
VILLA DEL PARQUE,2015,2106.3846153846152
VILLA DEL PARQUE,2016,2286.9375
VILLA DEL PARQUE,2017,2400.4615384615386
VILLA DEL PARQUE,2018,2629.777777777778
VILLA DEL PARQUE,2019,2621.3333333333335
VILLA DEVOTO,2010,1607.6666666666667
VILLA DEVOTO,2011,1812.2
VILLA DEVOTO,2012,2029.0
VILLA DEVOTO,2013,2064.875
VILLA DEVOTO,2014,2078.1
VILLA DEVOTO,2015,2110.3636363636365
VILLA DEVOTO,2016,2207.909090909091
VILLA DEVOTO,2017,2398.8333333333335
VILLA DEVOTO,2018,2804.0
VILLA DEVOTO,2019,2859.25
VILLA GRAL. MITRE,2010,1418.8
VILLA GRAL. MITRE,2011,1506.0
VILLA GRAL. MITRE,2012,1676.0
VILLA GRAL. MITRE,2013,1920.0
VILLA GRAL. MITRE,2014,1767.0
VILLA GRAL. MITRE,2015,1808.857142857143
VILLA GRAL. MITRE,2016,1916.625
VILLA GRAL. MITRE,2017,2121.777777777778
VILLA GRAL. MITRE,2018,2372.4444444444443
VILLA GRAL. MITRE,2019,2339.6666666666665
VILLA LUGANO,2010,1098.0
VILLA LUGANO,2011,1188.090909090909
VILLA LUGANO,2012,913.5
VILLA LUGANO,2013,966.0
VILLA LUGANO,2014,1357.5
VILLA LUGANO,2015,987.3333333333334
VILLA LUGANO,2016,1070.25
VILLA LUGANO,2017,1106.25
VILLA LUGANO,2018,1251.0
VILLA LUGANO,2019,1289.0
VILLA LURO,2010,1165.0
VILLA LURO,2011,1129.6666666666667
VILLA LURO,2012,
VILLA LURO,2013,2057.0
VILLA LURO,2014,1934.0
VILLA LURO,2015,1916.4166666666667
VILLA LURO,2016,2010.0
VILLA LURO,2017,2155.5714285714284
VILLA LURO,2018,2400.9166666666665
VILLA LURO,2019,2507.8333333333335
VILLA ORTUZAR,2010,1407.0
VILLA ORTUZAR,2011,
VILLA ORTUZAR,2012,1809.0
VILLA ORTUZAR,2013,
VILLA ORTUZAR,2014,2040.5
VILLA ORTUZAR,2015,2236.875
VILLA ORTUZAR,2016,2351.714285714286
VILLA ORTUZAR,2017,2531.8571428571427
VILLA ORTUZAR,2018,2995.0
VILLA ORTUZAR,2019,3298.0
VILLA PUEYRREDON,2010,1601.6
VILLA PUEYRREDON,2011,1684.1818181818182
VILLA PUEYRREDON,2012,1945.0
VILLA PUEYRREDON,2013,1928.0
VILLA PUEYRREDON,2014,2090.25
VILLA PUEYRREDON,2015,2062.6
VILLA PUEYRREDON,2016,2232.3
VILLA PUEYRREDON,2017,2355.0
VILLA PUEYRREDON,2018,2624.0
VILLA PUEYRREDON,2019,2842.6666666666665
VILLA REAL,2010,
VILLA REAL,2011,
VILLA REAL,2012,
VILLA REAL,2013,
VILLA REAL,2014,
VILLA REAL,2015,
VILLA REAL,2016,
VILLA REAL,2017,
VILLA REAL,2018,
VILLA REAL,2019,
VILLA RIACHUELO,2010,1142.0
VILLA RIACHUELO,2011,1261.6666666666667
VILLA RIACHUELO,2012,
VILLA RIACHUELO,2013,
VILLA RIACHUELO,2014,
VILLA RIACHUELO,2015,
VILLA RIACHUELO,2016,
VILLA RIACHUELO,2017,
VILLA RIACHUELO,2018,
VILLA RIACHUELO,2019,
VILLA SANTA RITA,2010,1401.0
VILLA SANTA RITA,2011,1624.3333333333333
VILLA SANTA RITA,2012,1854.0
VILLA SANTA RITA,2013,2011.5
VILLA SANTA RITA,2014,2086.75
VILLA SANTA RITA,2015,1873.7142857142858
VILLA SANTA RITA,2016,1949.111111111111
VILLA SANTA RITA,2017,2092.7
VILLA SANTA RITA,2018,2360.875
VILLA SANTA RITA,2019,2461.6666666666665
VILLA SOLDATI,2010,954.0
VILLA SOLDATI,2011,
VILLA SOLDATI,2012,
VILLA SOLDATI,2013,
VILLA SOLDATI,2014,
VILLA SOLDATI,2015,
VILLA SOLDATI,2016,
VILLA SOLDATI,2017,
VILLA SOLDATI,2018,
VILLA SOLDATI,2019,
VILLA URQUIZA,2010,1711.0
VILLA URQUIZA,2011,2022.4375
VILLA URQUIZA,2012,2359.5
VILLA URQUIZA,2013,2403.266666666667
VILLA URQUIZA,2014,2357.5333333333333
VILLA URQUIZA,2015,2403.0
VILLA URQUIZA,2016,2572.625
VILLA URQUIZA,2017,2865.5
VILLA URQUIZA,2018,3285.5
VILLA URQUIZA,2019,3335.875
